Year,	Mixing_Ratio_Observed
1850,275.4
1851,275.5
1852,275.6
1853,275.7
1854,275.8
1855,275.9
1856,276.0
1857,276.1
1858,276.2
1859,276.3
1860,276.4
1861,276.5
1862,276.6
1863,276.7
1864,276.8
1865,276.9
1866,277.0
1867,277.1
1868,277.2
1869,277.3
1870,277.4
1871,277.4
1872,277.5
1873,277.6
1874,277.7
1875,277.8
1876,277.8
1877,277.9
1878,278.0
1879,278.1
1880,278.2
1881,278.3
1882,278.4
1883,278.5
1884,278.6
1885,278.7
1886,278.8
1887,278.9
1888,278.9
1889,279.0
1890,279.1
1891,279.2
1892,279.3
1893,279.4
1894,279.4
1895,279.5
1896,279.5
1897,279.6
1898,279.7
1899,279.7
1900,279.8
1901,279.9
1902,280.0
1903,280.1
1904,280.2
1905,280.3
1906,280.4
1907,280.5
1908,280.7
1909,280.8
1910,281.0
1911,281.1
1912,281.3
1913,281.5
1914,281.6
1915,281.8
1916,282.0
1917,282.2
1918,282.5
1919,282.7
1920,282.9
1921,283.2
1922,283.4
1923,283.6
1924,283.8
1925,284.0
1926,284.2
1927,284.5
1928,284.6
1929,284.8
1930,285.0
1931,285.1
1932,285.3
1933,285.5
1934,285.7
1935,285.9
1936,286.1
1937,286.3
1938,286.4
1939,286.6
1940,286.7
1941,286.9
1942,287.1
1943,287.3
1944,287.5
1945,287.8
1946,288.0
1947,288.3
1948,288.5
1949,288.8
1950,289.0
1951,289.2
1952,289.4
1953,289.7
1954,289.9
1955,290.1
1956,290.4
1957,290.6
1958,290.8
1959,291.1
1960,291.4
1961,291.7
1962,291.9
1963,292.2
1964,292.6
1965,293.0
1966,293.4
1967,293.8
1968,294.2
1969,294.7
1970,295.2
1971,295.7
1972,296.2
1973,296.8
1974,297.4
1975,298.0
1976,298.6
1977,299.4
1978,300.04
1979,300.85
1980,301.22
1981,302.24
1982,303.18
1983,303.79
1984,304.46
1985,304.88
1986,306.13
1987,305.95
1988,307.02
1989,308.79
1990,309.43
1991,310.29
1992,310.44
1993,311.24
1994,311.39
1995,312.39
1996,313.01
1997,313.78
1998,314.47
1999,315.41
2000,315.41
2001,315.41
2002,315.41
2003,315.41
2004,315.41
2005,315.41
2006,315.41
2007,315.41
2008,315.41
2009,315.41
2010,315.41
2011,315.41
2012,315.41
2013,315.41
2014,315.41
2015,315.41
2016,315.41
2017,315.41
2018,315.41
2019,315.41
2020,315.41
2021,315.41
2022,315.41
2023,315.41
2024,315.41
2025,315.41
2026,315.41
2027,315.41
2028,315.41
2029,315.41
2030,315.41
2031,315.41
2032,315.41
2033,315.41
2034,315.41
2035,315.41
2036,315.41
2037,315.41
2038,315.41
2039,315.41
2040,315.41
2041,315.41
2042,315.41
2043,315.41
2044,315.41
2045,315.41
2046,315.41
2047,315.41
2048,315.41
2049,315.41
2050,315.41
